state,portal_name,url,no_login_search,notes
Idaho,IPRO (Idaho e Procurement System),https://solutions.sciquest.com/apps/Router/SupplierLogin?CustOrg=StateofIdaho,unverified,"Official state solicitations print this exact SciQuest supplier login URL for IPRO; no login public search behavior was not established so access is marked unverified."
Illinois,BidBuy,https://www.bidbuy.illinois.gov/bso/,yes,"Official vendor manual states Open Bids allows the public to view all open state bids; login and registration are for vendor functions and responses."
Indiana,Indiana Supplier Portal,https://www.in.gov/idoa/procurement/supplier-resource-center/requirements-to-do-business-with-the-state/bidder-profile-registration/manage-my-bidder-profile/,no,"Official IDOA guidance requires a bidder profile and Access Indiana authentication before reaching the Supplier Secure Home and Bidding Opportunities tile."
Iowa,Iowa Bid Opportunities,http://bidopportunities.iowa.gov,yes,"Current state RFBs print this as the official public bid site and Iowa DAS states the complete current bid list is open to the public; VSS and IMPACS registration are used for notifications and online responses."
Kansas,Kansas Supplier Portal,https://supplier.sok.ks.gov/psc/sokfsprdsup/SUPPLIER/ERP/c/SCP_PUBLIC_MENU_FL.SCP_PUB_BID_CMP_FL.GBL,yes,"Official Kansas Register notices identify this public PeopleSoft bid page and state bid documents can be downloaded there without login."
Kentucky,Kentucky Vendor Self Service (VSS),https://vss.ky.gov/vssprod-ext/Advantage4,yes,"Official KYTC instructions print this exact URL and state that requests can be viewed without registering by selecting View Published Solicitations; registration and login are required to submit a response."
Louisiana,LaPAC,,unverified,"No exact central LaPAC all bids search URL could be confirmed from official sources on September 18 2026; only department filtered pages were found so the URL is left blank rather than inferred."
Maine,Maine Vendor Self Service (VSS),https://mevss.hostams.com/PRDVSS1X1/AltSelfService,yes,"Official Maine page instructs unregistered users to use Public Access to view current RFQs; all solicitations moved to VSS effective October 1 2025 and registration is required to respond."
Maryland,eMMA,https://emma.maryland.gov,yes,"Official DGS quick reference guides state open solicitations can be viewed without logging into eMMA via the Public Solicitations button; login is required to bid or receive notifications."
Massachusetts,COMMBUYS,https://www.commbuys.com/bso/,yes,"Official Mass.gov materials print this root URL and state that open bids are viewable by anyone without logging in; sign in is required to create a quote."
Michigan,SIGMA Vendor Self Service (SIGMA VSS),https://sigma.michigan.gov/webapp/PRDVSS2X1/AltSelfService,yes,"Official state solicitation documents print this exact URL; third party guidance notes users select Guest Access before searching open opportunities and login is required to respond."
Minnesota,Minnesota OSP (SWIFT Supplier Portal),https://mn.gov/admin/osp/vendors/solicitations-and-contract-opportunities/,yes,"Official OSP landing was fetched directly on September 18 2026 and state materials state advertised solicitations are posted on OSP public pages; the linked guest SWIFT supplier endpoint returned a cookies and sign in error when fetched the same day so use OSP posting pages directly."
Mississippi,MAGIC,,unverified,"MAGIC is confirmed as the official procurement system and individual RFx documents are publicly indexed but no exact central solicitation search page or public access behavior was confirmed so the URL is left blank."
Missouri,MissouriBUYS,https://missouribuys.mo.gov/bidboard.html,yes,"Official FAQ states bid board opportunities and documents are viewable without registration; registration is required to respond and receive alerts."
Montana,eMACS,https://doa.mt.gov/SPSD/eMACS-Resources,no,"Official DOA eMACS resources page was fetched directly on September 18 2026 and identifies eMACS as the central system; vendor guidance routes users through account creation and login to view sourcing events and the external SciQuest endpoint could not be fetched the same day."
Nebraska,Nebraska Materiel Bid Opportunities,https://das.nebraska.gov/materiel/bidopps.html,yes,"Page was fetched directly on September 18 2026 and displayed current bids agencies dates documents and awards without login."
Nevada,NevadaEPro,https://www.purchasing.nv.gov/vendors/vendorsregistration/,partial,"Official vendor page identifies NevadaEPro and states vendors log in to view bids and submit; public external bid detail pages are retrievable so access is partial."
New Hampshire,NH Bids and Contracts,https://apps.das.nh.gov/bidscontracts/bids.aspx,yes,"Official DAS solicitation documents repeatedly identify this as the statewide advertising page for bid invitations addenda and bid results; the listing is publicly accessible."
New Jersey,NJSTART,https://www.njstart.gov,no,"Official NJ Treasury guides print www.njstart.gov and state vendors must be registered and logged in in the Seller role before finding or responding to bid solicitations."
New Mexico,Euna Supplier Network (Bonfire),https://generalservicesstatenmus.bonfirehub.com/,unverified,"Official GSD State Purchasing Division notice gives this exact URL for the new statewide portal effective September 1 2026; registration is required to bid but public browsing behavior was not established so access is marked unverified."
New York,NYS Contract Reporter,https://www.nyscr.ny.gov/home/contracts,no,"Official site states registration is required to access resources."
North Carolina,eVP (Electronic Vendor Portal),https://evp.nc.gov,yes,"Official solicitation documents print https://evp.nc.gov and describe public retrieval of award notices and bid tabulations; free registration is for notifications and electronic responses."
North Dakota,NDBuys,https://www.omb.nd.gov/doing-business-state/procurement/ndbuys,yes,"Official OMB landing identifies NDBuys as the current system replacing SPO Online; public users can access current opportunities with CAPTCHA and registration is required to participate and receive notifications."
Ohio,OhioBuys,https://ohiobuys.ohio.gov,yes,"Official instructions explicitly allow viewing opportunities without logging in; OH ID and registration are required to respond."
Oklahoma,Oklahoma Supplier Portal,https://www.vendors.ok.gov,partial,"Official OMES guides print www.vendors.ok.gov and state that unauthenticated users can view Public Bidding Events; login is required for full bid packages Q and A and submission."
Oregon,OregonBuys,https://www.oregon.gov/das/orbuys/pages/eprocurement.aspx,yes,"Official page identifies OregonBuys as the e procurement system; state materials state the public can view and search without login."
Pennsylvania,PA eMarketplace,https://business.pa.gov/grow/becoming-a-government-supplier/,yes,"Official business landing describes becoming a government supplier and public eMarketplace solicitation pages are viewable; JAGGAER registration is required for electronic submission."
Rhode Island,Ocean State Procures,https://ridop.ri.gov/vendor-resources/all-solicitations,partial,"Official landing identifies Ocean State Procures and the public Bid Board displays solicitations and awards; registration is required to download required documents ask questions and respond."
South Carolina,SC Vendor Portal,,unverified,"Public solicitation attachments are indexed on apps.sceis.sc.gov and an electronic response portal exists at vendorportal.sc.gov but no central public solicitation search page was confirmed so the URL is left blank."
South Dakota,Central portal not confirmed,,"unverified","No single statewide central solicitation portal was confirmed; only agency specific listings such as State Engineer construction bids were found so the URL is left blank."
Tennessee,Edison Supplier Portal,https://hub.edison.tn.gov/psp/paprd/SUPPLIER/SUPP/h/?tab=PAPP_GUEST,no,"Official TN Finance documents print this exact Edison Supplier Portal URL and describe supplier user account creation and sign in; solicitation search is behind login."
Texas,ESBD (Electronic State Business Daily),http://www.txsmartbuy.com/esbd,yes,"Official state materials print this URL and describe ESBD as an online search engine available to anyone for opportunities over 25000 dollars."
Utah,U3P (Bonfire),https://utah.bonfirehub.com/portal/?tab=openOpportunities,yes,"Official notice gives this exact open opportunities portal URL for the migrated U3P Bonfire system; public listing is indicated and registration is for notifications and participation."
Vermont,Vermont Business Registry,https://www.vermontbusinessregistry.com/bidsearch.aspx?type=1,yes,"Public bid search page showed current September 2026 opportunities without login."
Virginia,eVA,https://eva.virginia.gov,yes,"Official guidance states no registration is required to view solicitations or documents on eVA."
Washington,WEBS,https://pr-webs-vendor.des.wa.gov/,no,"Official DES instructions require login before selecting Search Opportunities."
West Virginia,wvOASIS Vendor Self Service,https://www.state.wv.us/admin/purchase/oasis.html,yes,"Official purchasing page states users can select View Published Solicitations and browse project details without registration; registration and an annual fee concern participation and notifications."
Wisconsin,VendorNet,https://vendornet.wi.gov/,yes,"Official DOA booklet identifies VendorNet as the system where users can search for solicitations and contracts; the eSupplier Portal serves state agencies behind login while VendorNet serves UW and other entities with public search."
Wyoming,Central portal not confirmed,,"unverified","No single statewide central solicitation portal was confirmed; agency specific Public Purchase usage was found but not a clearly adopted central portal so the URL is left blank."
